1997-06-24T08:05:48.343,1997-06-24T08:36:00.342,""
1997-06-24T20:17:56.317,1997-06-24T20:30:00.316,""
1997-06-25T09:20:48.289,1997-06-25T09:33:00.288,""
1997-06-25T09:44:48.288,1997-06-25T09:51:00.288,""
1997-06-25T12:06:52.283,1997-06-25T12:59:00.281,"TELEMETRY OUTAGE"
1997-06-25T13:02:12.281,1997-06-25T13:39:00.279,"TELEMETRY OUTAGE"
1997-06-25T14:50:52.277,1997-06-25T14:59:00.277,""
1997-06-27T01:56:36.201,1997-06-27T02:09:00.201,""
1997-06-28T04:51:52.144,1997-06-28T05:00:00.143,""
1997-06-28T12:18:00.128,1997-06-28T12:30:04.127,""
1997-07-02T19:49:38.905,1997-07-02T21:02:02.903,""
1997-07-03T16:49:38.860,1997-07-03T17:02:02.860,""
1997-07-05T03:53:38.785,1997-07-05T04:18:02.784,""
1997-07-05T10:17:38.771,1997-07-05T10:30:02.771,""
1997-07-07T09:29:38.670,1997-07-07T09:42:02.669,""
1997-07-09T04:29:38.577,1997-07-09T04:42:02.577,""
1997-07-10T09:17:38.516,1997-07-10T10:42:02.513,"TELEMETRY OUTAGE"
1997-07-11T18:02:50.445,1997-07-11T18:19:14.445,"ONBOARD AACS OUTAGE"
1997-07-14T09:31:50.309,1997-07-14T09:40:50.309,"ONBOARD AACS OUTAGE"
1997-07-14T10:22:38.307,1997-07-15T02:11:26.273,"BUFFER OVERFLOW"
1997-07-15T02:58:38.272,1997-07-15T03:11:02.271,""
1997-07-16T02:34:38.221,1997-07-16T02:47:02.220,""
1997-07-17T20:10:38.131,1997-07-17T20:23:02.131,""
1997-07-17T20:34:38.131,1997-07-17T20:47:02.130,""
1997-07-18T11:10:38.099,1997-07-18T11:23:02.099,""
1997-07-18T12:22:38.097,1997-07-18T12:35:02.096,""
1997-07-19T08:34:38.053,1997-07-19T09:47:02.051,""
1997-07-21T09:10:37.949,1997-07-21T11:47:01.943,"TELEMETRY OUTAGE"
1997-07-26T13:05:36.350,1997-07-26T13:18:00.349,""
1997-07-29T02:53:36.217,1997-07-29T03:06:00.216,""
1997-07-30T17:17:36.134,1997-07-30T17:30:00.134,"TELEMETRY OUTAGE"
1997-07-30T17:41:36.134,1997-07-30T17:54:00.133,"TELEMETRY OUTAGE"
1997-07-30T19:44:00.129,1997-07-30T21:54:00.125,"TELEMETRY OUTAGE"
1997-07-30T23:05:36.122,1997-07-30T23:18:00.122,""
1997-07-31T03:05:36.113,1997-07-31T03:30:00.112,"TELEMETRY OUTAGE"
1997-08-01T07:49:12.052,1997-08-01T14:50:11.370,"BUFFER OVERFLOW"
1997-08-02T21:32:23.971,1997-08-02T21:49:35.970,"ONBOARD AACS OUTAGE"
1997-08-03T03:29:35.958,1997-08-03T03:53:59.957,""
1997-08-03T05:41:35.953,1997-08-03T05:53:59.953,""
1997-08-03T11:41:35.940,1997-08-03T14:41:59.934,"TELEMETRY OUTAGE"
1997-08-03T17:17:35.928,1997-08-03T18:05:59.927,"TELEMETRY OUTAGE"
1997-08-06T12:16:07.784,1997-08-06T12:24:11.784,""
1997-08-06T13:32:11.782,1997-08-06T13:46:11.781,""
1997-08-06T14:33:07.780,1997-08-06T14:44:11.779,""
1997-08-06T17:32:07.773,1997-08-06T17:38:11.773,""
1997-08-07T13:14:01.064,1997-08-07T13:19:23.731,""
1997-08-07T13:34:01.063,1997-08-07T13:42:03.730,""
1997-08-07T19:23:49.051,1997-08-07T19:30:01.051,""
1997-08-07T19:35:49.050,1997-08-07T19:42:01.050,""
1997-08-08T02:14:49.036,1997-08-08T02:24:01.036,""
1997-08-13T00:47:36.782,1997-08-13T01:00:00.781,""
1997-08-14T01:30:48.729,1997-08-14T08:36:00.713,"TELEMETRY OUTAGE"
1997-08-16T23:47:36.578,1997-08-17T00:12:00.577,""
1997-08-17T19:59:36.534,1997-08-17T20:48:00.533,""
1997-08-19T18:35:36.434,1997-08-19T19:00:00.433,""
1997-08-19T19:59:36.431,1997-08-19T20:24:00.430,""
1997-08-19T21:11:36.429,1997-08-19T21:36:00.428,""
1997-08-19T22:59:36.425,1997-08-19T23:48:00.423,""
1997-08-22T17:02:48.283,1997-08-22T17:23:12.282,"ONBOARD AACS OUTAGE"
1997-08-26T06:11:37.433,1997-08-26T07:24:01.431,""
1997-08-27T01:11:37.393,1997-08-27T02:00:01.391,""
1997-08-29T05:34:25.280,1997-08-29T06:12:01.279,""
1997-08-29T08:11:37.274,1997-08-29T09:12:01.272,""
1997-08-29T16:59:37.255,1997-08-29T17:24:01.255,""
1997-09-01T10:35:37.115,1997-09-01T10:48:01.114,"TELEMETRY OUTAGE"
1997-09-01T10:59:37.114,1997-09-01T11:36:01.112,"TELEMETRY OUTAGE"
1997-09-01T12:11:37.111,1997-09-01T14:24:01.106,"TELEMETRY OUTAGE"
1997-09-01T15:11:37.105,1997-09-01T15:48:01.103,""
1997-09-01T18:23:37.098,1997-09-01T18:36:01.097,""
1997-09-02T11:11:37.062,1997-09-02T11:24:01.061,""
1997-09-03T12:23:37.008,1997-09-03T12:36:01.007,""
1997-09-04T03:47:36.975,1997-09-04T04:36:00.973,""
1997-09-04T10:11:36.961,1997-09-04T10:24:00.960,""
1997-09-07T04:59:36.817,1997-09-07T06:12:00.815,""
1997-09-07T10:11:36.806,1997-09-07T10:24:00.806,""
1997-09-07T13:47:36.798,1997-09-07T14:00:00.798,""
1997-09-07T22:35:36.780,1997-09-07T22:48:00.779,""
1997-09-08T05:23:36.765,1997-09-08T05:36:00.764,""
1997-09-08T05:59:36.764,1997-09-08T06:24:00.763,""
1997-09-08T14:32:48.745,1997-09-08T14:50:48.745,"ONBOARD AACS OUTAGE"
1997-09-08T19:47:36.734,1997-09-08T20:00:00.734,""
1997-09-08T22:23:36.728,1997-09-08T22:36:00.728,""
1997-09-09T00:59:36.723,1997-09-09T01:12:00.722,""
1997-09-09T18:35:36.685,1997-09-09T18:48:00.685,""
1997-09-09T19:17:12.684,1997-09-09T19:24:00.683,""
1997-09-10T01:47:36.670,1997-09-10T02:00:00.669,""
1997-09-10T05:11:36.662,1997-09-10T05:36:00.661,""
1997-09-12T07:23:36.554,1997-09-12T08:00:00.553,""
1997-09-14T15:32:25.767,1997-09-14T15:42:01.767,""
1997-09-14T16:59:49.764,1997-09-14T17:06:01.764,""
1997-09-15T04:59:49.738,1997-09-15T06:09:21.736,""
1997-09-16T15:59:57.663,1997-09-16T16:06:01.663,""
1997-09-16T20:11:49.654,1997-09-16T20:18:01.654,""
1997-09-16T23:47:49.646,1997-09-16T23:54:01.646,""
1997-09-17T13:04:57.618,1997-09-17T13:39:01.617,""
1997-09-17T15:53:49.612,1997-09-17T16:06:01.611,""
1997-09-17T23:35:49.595,1997-09-17T23:42:01.595,""
1997-09-18T05:57:58.915,1997-09-18T06:08:41.581,""
1997-09-18T17:44:48.223,1997-09-18T17:51:00.223,""
1997-09-18T19:20:36.219,1997-09-18T19:33:00.219,""
1997-09-19T14:39:48.178,1997-09-19T14:46:00.178,""
1997-09-19T15:05:48.177,1997-09-19T15:16:00.177,""
1997-09-19T15:45:48.176,1997-09-19T15:52:00.175,""
1997-09-19T18:34:24.170,1997-09-19T18:40:00.169,"ONBOARD AACS OUTAGE"
1997-09-20T14:36:36.127,1997-09-20T15:01:00.126,""
1997-09-21T05:48:36.094,1997-09-21T06:01:00.093,""
1997-09-24T09:11:35.932,1997-09-24T09:35:59.931,""
1997-09-26T07:47:35.832,1997-09-26T08:11:59.831,""
1997-09-27T03:03:11.790,1997-09-27T11:59:59.771,"TELEMETRY OUTAGE"
1997-09-27T15:59:35.763,1997-09-27T17:23:59.760,"TELEMETRY OUTAGE"
1997-09-27T18:02:23.758,1997-09-27T18:18:47.758,"ONBOARD AACS OUTAGE"
1997-09-28T08:59:35.726,1997-09-28T09:23:59.725,""
1997-09-28T19:23:35.704,1997-09-28T19:35:59.703,""
1997-09-29T05:35:35.682,1997-09-29T06:11:59.681,""
1997-09-30T14:06:23.612,1997-09-30T15:18:47.609,""
1997-09-30T18:42:23.602,1997-09-30T19:06:47.601,""
1997-09-30T21:06:23.597,1997-09-30T21:18:47.597,""
1997-10-01T09:20:47.571,1997-10-01T12:42:47.563,"TELEMETRY OUTAGE"
1997-10-01T13:42:23.561,1997-10-01T13:54:47.561,""
1997-10-01T22:18:23.543,1997-10-01T23:18:47.541,""
1997-10-02T18:30:23.499,1997-10-02T18:42:47.499,""
1997-10-02T20:30:23.495,1997-10-02T20:54:47.494,""
1997-10-05T08:18:23.367,1997-10-05T08:30:47.366,""
1997-10-05T14:46:47.353,1997-10-05T14:53:11.353,"INSTRUMENT ANOMALY: CHANGE IN OFFSET"
1997-10-06T09:42:23.312,1997-10-06T09:54:47.312,""
1997-10-06T10:48:47.310,1997-10-06T11:06:47.309,""
1997-10-06T11:46:47.308,1997-10-06T12:18:47.307,""
1997-10-06T15:06:23.301,1997-10-06T15:42:47.299,""
1997-10-06T21:54:23.286,1997-10-06T23:06:47.283,""
1997-10-07T07:25:35.265,1997-10-07T07:30:47.265,""
